Cigarette,TAR,Nicotine,WEIGHT,CO
Alpine,14.1,0.86,985.3,13.6
benson&Hedges,16,1.06,1093.8,16.6
camelLights,8,0.67,928,10.2
Carlton,4.1,0.4,946.2,5.4
ChisterField,15,1.04,888.5,15
GoldenLights,8.8,0.76,1026.7,9
kent,12.4,0.95,922.5,12.3
Kool,16.6,1.12,937.2,16.3
L&M,14.9,1.02,885.8,15.4
LarkLights,13.7,1.01,964.3,13
Marlboro,15.1,0.9,931.6,14.4
Merit,7.8,0.57,970.5,10
Multifilter,11.4,0.78,1124,10.2
NewportLights,9,0.74,851.1,9.5
Now,1,0.13,785.1,1.5
OldGold,17,1.26,918.6,18.5
PallMallLight,12.8,1.08,1039.5,12.6
Raleigh,15.8,0.96,957.3,17.5
SalemUltra,4.5,0.42,910.6,4.9
Tareyton,14.5,1.01,1007,15.9
TrueLight,7.3,0.61,980.6,8.5
ViceroyRichLight,8.6,0.69,969.3,10.6
VirginiaSlims,15.2,1.02,949.6,13.9
WinstonLights,12,0.82,1118.4,14.9
